LON,LAT,VALUE
116.8556,32.6028,126
114.3672,30.5719,126
112.8564,35.4883,126
111.2992,30.698,126
85.6931,46.0872,126
121.045,40.8333,125
120.27,30.1819,125
115.8067,33.8399,125
113.5689,37.8694,125
109.4131,36.6275,125
107.5936,40.916,125
121.273,28.6459,124
117.4916,30.6619,124
117.4697,30.6617,124
115.988,29.7292,124
115.9848,36.4372,124
112.8252,35.4813,124
112.7003,38.4928,124
130.3794,46.7588,123
117.0549,30.5103,123
113.3983,31.7308,123
102.1708,38.5061,123
126.979,45.5422,121
123.3783,41.9228,121
117.2933,34.2778,121
116.9983,28.2169,121
116.5661,31.7712,121
111.3549,30.6463,121
85.1186,45.6886,121
124.8847,46.3991,120
124.8648,46.6219,120
120.8478,40.715,120
117.0564,28.2642,120
114.9028,30.4742,120
112.4783,37.7778,120
111.268,30.696,120
75.9435,39.4365,120
125.9486,41.7381,119
123.7117,41.8417,119
122.8211,45.6175,119
115.474722,35.2375,119
114.8878,30.3944,119
109.5293,34.5101,119
80.2956,41.1933,119
123.6836,41.9339,118
117.192,34.2417,118
117.049,36.6622,118
117.0222,28.2264,118
115.7831,33.8561,118
113.5158,37.85,118
113.2711,40.0844,118
84.8861,45.6033,118
81.3364,43.941,118
125.9361,41.7156,116
117.7181,36.2092,116
117.6789,36.2289,116
117.25,31.8572,116
116.7039,32.625,116
114.8858,30.4519,116
113.942,30.9075,116
113.3583,31.7275,116
112.4279,39.3673,116
123.7308,41.3047,115
121.713,29.9572,115
121.6178,41.9967,115
117.0281,28.2403,115
115.0772,35.767,115
111.3009,30.7157,115
75.9771,39.4699,115
124.0383,41.8625,114
121.1303,41.1386,114
119.5259,39.8283,114
117.8561,30.9219,114
117.124,31.8516,114
113.675,34.8019,114
109.7456,38.2911,114
105.724,38.8516,114
81.2815,43.9404,114
80.2828,41.1636,114
127.4143,50.2538,113
123.428,41.8472,113
117.6983,36.2211,113
116.5068,31.7797,113
87.6046,43.768,113
123.9169,41.8828,111
117.8178,30.9414,111
